original_author,fict_bio,pred_author,match
John Banville,"You were born in 1946 in Waterford, Ireland. After secondary school, you worked as a copy editor and later served as arts editor at a Dublin daily. Since the early 1970s you have published novels whose lucid, meticulous prose probes memory, self-invention, and the treacheries of perception; narrators confess and equivocate, landscapes and paintings serve as moral mirrors. In recent years you have also written atmospheric crime fiction under a pseudonym. Critics prize your classical poise and the architecture of your sentences. You have received the Costa Book Award and the James Tait Black Memorial Prize. You live in Dublin, refining each book with austere care.",John Banville,1
Joan Barfoot,"You were born in 1948 in Guelph, Ontario. After studying English at the University of Toronto, you worked as a reporter and editor at regional newspapers before turning full-time to fiction. From your home in Kingston, you have published a dozen novels marked by unsentimental clarity, dry wit, and a probing attention to moral consequence in the lives of independent, middle-aged women. Your narratives favor small-town settings, shifting perspectives, and spare, exacting prose. You won the Trillium Book Award and were shortlisted for the Governor General’s Award for Fiction. You also contribute essays and reviews, and you have mentored emerging writers across Canada.",Merilyn Simonds,0
Julian Barnes,"You were born in 1948 in Nottingham. After reading Modern Languages at Cambridge, you worked as a copy editor at a dictionary publisher and later as a critic for The Observer. You have published novels, essays, and occasional pseudonymous crime fiction, developing a style of precise, ironic prose attentive to the slippages of memory, the tensions between history and story, and the entanglements of Englishness with France and European art. Your criticism appears in British and American journals, and your fiction is widely translated. You have received the James Tait Black Memorial Prize and the E.M. Forster Award. You live in London, where you continue to write and review.",Julian Barnes,1
Sebastian Barry,"You were born in 1957 in Cork City, Ireland. After studying history and English at University College Cork, you emerged as a poet and playwright, then turned to the novel. Your work, staged at the Abbey Theatre and Druid and published internationally, returns to the state’s contested archives: soldiers and nurses, the institutionalized and the vanished, families divided by memory. In lucid, lyrical prose you pursue moral witness and the fragile dignity of ordinary lives. You have won the Kerry Group Irish Novel of the Year and the James Tait Black Memorial Prize, and your fiction has been shortlisted for the Man Booker Prize. You live in Dublin, writing for stage and page.",Sebastian Barry,1
David Bergen,"You were born in 1958 in Brandon, Manitoba. After studying literature at the University of Manitoba, you settled in Winnipeg, teaching high school English while publishing short stories in the early 1990s and then a series of novels through the 2000s. Your work is distinguished by spare, lucid prose and a steady moral intelligence, tracing the tensions of faith, family, and desire in prairie towns and Winnipeg streets, and, at times, by the shadows cast by travels in Southeast Asia. You have received the Governor General’s Award for Fiction. You continue to live in Winnipeg with your family, writing and occasionally teaching.",David Bergen,1
Joseph Boyden,"You were born in 1968 in Sudbury, Ontario. After studying literature at Carleton University and completing an MFA at the University of New Orleans, you taught creative writing in Louisiana. Your fiction traces the entanglement of Indigenous and settler histories, the pressures of the bush and the city, and the aftershocks of war and extraction. You are known for restrained lyricism, braided narratives, and close attention to land and kinship. You divide your time between Montreal and the western James Bay coast; your second novel won the Rogers Writers’ Trust Fiction Prize.",Joseph Boyden,1
Edwidge Danticat,"You were born in 1970 in Cap-Haïtien, Haiti, and moved to Brooklyn as a teenager to join your parents. Educated at state schools and later earning an MFA from Columbia University, you began publishing in the mid-1990s. Your novels and stories trace families divided by dictatorship, migration, and memory, weaving Haitian oral traditions and Creole cadences into clear, restrained prose. You write as both witness and daughter, attentive to the endurance of women, the ambiguities of faith, and the costs of exile. Alongside fiction, your essays address immigration, human rights, and catastrophe at home. Your work has received a Whiting Writers’ Award and a National Book Award finalist citation.",Edwidge Danticat,1
EL Doctorow,"You were born in 1932 in Brooklyn, New York. After studying literature at City College and graduate work at Columbia, you began as a reader for a film company before moving into publishing, eventually serving as an editor at Viking. Your novels braid public history with private invention, employing polyphonic narration, documentary fragments, and a cool moral intelligence to revisit American ruptures—from industrial upheaval to urban unrest—without surrendering narrative pleasure. You have taught writing at Columbia and the New School, mentoring a generation of novelists. Your work has been recognized with the National Book Critics Circle Award and the PEN/Faulkner Award, and remains central to contemporary historical fiction.",E. L. Doctorow,1
Golda Fried,"You were born in 1974 in Ottawa, Canada. After studying literature at McGill University, you lived in Chicago and Montréal, dividing your time between teaching and writing. Your early short stories appeared in Canadian and American journals before your debut novel and a subsequent collection cemented your reputation. Your work is distinguished by precise, unsentimental prose, close attention to the textures of urban youth culture, and the moral complexity of friendship and first love. Music and place are constant anchors, especially Montréal’s streets. You have taught creative writing at Concordia University and won the Journey Prize for short fiction.",Paige Cooper,0
Mary Gaitskill,"You were born in 1956 in Rochester, New York. Raised in a suburb, you left home during college and lived briefly in Chicago and San Francisco before settling in New York City in the early 1980s. Supporting yourself through office work and freelance copyediting, you wrote stories and novels probing desire, power, cruelty, and the possibility of grace. Your spare, unsentimental prose, observant yet compassionate, favors ethically fraught situations, psychological scrutiny, and women whose strength is inseparable from vulnerability. To date you have published several story collections and two novels, and contributed essays to major magazines. Honors include a Guggenheim Fellowship and a PEN/Faulkner Award finalist citation.",Lorrie Moore,0
Camilla Gibb,"Born in 1969 in Bristol, England, you emigrated to Canada in childhood and grew up in Toronto. Trained as a social anthropologist (BA at McGill, PhD at the London School of Economics), you turned to fiction in the late 1990s, bringing fieldwork’s attentiveness to culture, ritual, and migration. Your novels—set between East Africa, the Middle East, and Canadian cities—trace the moral lives of people navigating exile, belief, and fractured families. Critics note your lucid, lyrical prose and the quiet authority with which you render unfamiliar worlds intimate. You have taught at Canadian universities and mentored emerging writers. Your work has received major recognition, including the Rogers Writers’ Trust Fiction Prize.",Dina Al-Kassab,0
Charlotte Gill,"You were born in 1972 in Winnipeg, Manitoba. Raised between prairie towns and the Pacific coast, you spent your twenties planting trees and supervising crews across British Columbia and Alberta before turning to writing. After study at the University of British Columbia, you published widely in Canadian journals. Your work is marked by exacting, quietly lyrical prose, unsentimental attention to labour and landscape, and an ethical curiosity about resource economies. You have won the Journey Prize and a National Magazine Award, and your debut collection brought national recognition. You divide your time between Vancouver and seasonal field work.",Steven Price,0
Kazuo Ishiguro,"You were born in 1955 in Osaka, Japan. You moved to Britain in 1961, settling in Manchester. After studying philosophy at the University of Sussex, you worked in housing services before turning to fiction and screenwriting. Since the early 1980s, your English-language novels have examined memory, moral compromise, and the fragility of identity, often through restrained first-person narrators negotiating historical aftershocks. You have also written for television and collaborated with musicians. Critics note the clarity of your prose and the quiet tension beneath it. Your work has received the James Tait Black Memorial Prize and the Guardian Fiction Prize, and is widely translated.",Kazuo Ishiguro,1
Ha Jin,"You were born in 1958 in Harbin, China. You came of age during the Cultural Revolution, worked briefly in a state-run factory, and later served as a communications clerk in the army. After studying English literature at a provincial university, you left for the United States in 1987, completing a doctorate at Emory University and eventually teaching in Chicago. Writing in English, you depict ordinary Chinese lives and the immigrant passage with calm, incisive prose, moral clarity tempered by irony, and a steady attention to the drag of history on private desire. Your awards include the PEN/Hemingway Award and a Whiting Writers’ Award.",Ha Jin,1
Lisa Moore,"You were born in 1966 in Gander, Newfoundland and Labrador. Raised near the North Atlantic, you studied visual art at the Nova Scotia College of Art and Design before turning to fiction. Your early short stories appeared in Canadian journals, followed by two collections and a novel that brought national attention. You are known for lucid, sensuous prose, an exacting eye for physical detail, and narratives that probe family, labour, and risk amid maritime weather and urban edges. You have taught workshops and served as writer-in-residence in St. John’s, where you live. Your work has earned the ReLit Award for short fiction and the Thomas Head Raddall Atlantic Fiction Award.",Lisa Moore,1
Kathy Page,"Born in 1959 in Brighton, England, you began in community arts and adult education before committing to fiction. After several well-noted novels and story collections in the UK, you emigrated to British Columbia in the early 2000s, where you teach creative writing and contribute to radio drama. Your work is distinguished by psychological acuity, moral intelligence, and a restrained yet inventive prose style; you often trace transformations within families, institutions, and marginal communities, balancing empathy with formal precision. You have won a CBC Literary Award for short fiction and a ReLit Award for a novel, and your books are widely reviewed in Britain and Canada.",Michael P.J. Mark,0
Edeet Ravel,"You were born in 1956 in Haifa, Israel, and moved to Montreal at the age of eight. You studied literature and linguistics at McGill and Concordia, then taught adult education and creative writing while translating from Hebrew. Your fiction, set between Israel and Canada, probes intimate relationships under political strain, uniting moral inquiry with restrained, lucid prose. You favor braided timelines, epistolary forms, and multiple viewpoints, attentive to the frictions of language, memory, and belonging. After early short stories, your novels earned national attention and a committed readership. You have received the Quebec Writers’ Federation’s Hugh MacLennan Prize for Fiction and the Canadian Jewish Book Award, and your work is widely reviewed and taught.",Dvora Levin,0
Christopher Sorrentino,"You were born in 1965 in Brooklyn, New York. Raised in a household of artists, you gravitated to journalism and teaching before committing to fiction. After early stories in little magazines, your first novel in the late 1990s drew attention for its exacting prose and sly formal design. A subsequent book, blending historical research with a fractured narrative voice, established you as a central figure in contemporary American metafiction. Your work is distinguished by analytic intelligence, restless structure, and a cool, mordant humor that doubts the reliability of memory and media. You teach in New York and have received a Whiting Writers’ Award and a Pushcart Prize.",Jonathan Lethem,0
Rene Steinke,"You were born in 1967 in Charlottesville, Virginia. After studying English at the University of Virginia and completing an MFA at New York University, you settled in Brooklyn, balancing teaching and editing with the steady work of fiction. Your novels, noted for lucid, measured prose and a moral attentiveness to faith, desire, and community, move between historical subjects and present-day lives, often centering the private resolve of women. You have taught at Sarah Lawrence College and served on the editorial staff of Ploughshares. Your work has been recognized with a Whiting Writers’ Award and a fellowship from the National Endowment for the Arts.",The author described is **Julia Glass**.,0
William T Vollmann,"Born in 1961 in San Jose, California, you studied literature and physics at a northeastern university before supporting yourself as a programmer in the Bay Area. Drawn to conflict zones and fringe economies, you reported from Afghanistan and the Balkans, turning that fieldwork into expansive novels and essays that merge documentary rigor, ethics, and lyricism. Your pages teem with footnotes, photographs, and interviews, refusing neat boundaries between fiction and reportage. You have written searchingly about prostitution, poverty, and the aftermath of war, foregrounding the voices of the overlooked. Your honors include a Guggenheim Fellowship and the National Book Critics Circle Award. You live in Oakland, California.",Rachel Kushner,0
Steve Yarbrough,"You were born in 1958 in Greenwood, Mississippi. Raised in a Delta farming family, you studied literature at the University of Mississippi and began publishing stories that led to a career in fiction. After early years teaching in Arkansas, you settled in Massachusetts, where you continue to write and teach. Your novels and stories probe small-town lives, racial memory, faith, and the stubborn pull of history, rendered in restrained prose and carefully layered plots. You are known for moral precision without sentimentality and for settings that bind characters to place. Your work has earned a Pushcart Prize and the Mississippi Institute of Arts and Letters Award.",Steve Yarbrough,1
Peter Behrens,"You were born in 1956 in Halifax, Nova Scotia. After studying history at McGill, you worked as a journalist and later as a screenwriter in Los Angeles, before returning to fiction. Your debut novel traces North Atlantic migrations and unsettled families, joining historical sweep to intimate, salt‑weathered detail; your prose is lean, lyrical, and alert to class, faith, and the work of survival. A fellowship at the Fine Arts Work Center supported early drafts. You divide your time between Montreal and Nova Scotia’s South Shore. Your first novel received the Rogers Writers’ Trust Fiction Prize.",David Macfarlane,0
Trevor Cole,"You were born in 1963 in Kingston, Ontario. After studying journalism at Carleton University, you built a career as a magazine writer and later a business columnist at a national newspaper, earning a reputation for rigor and clear-eyed analysis. Turning to fiction, you published two widely praised novels distinguished by sardonic humour, moral inquiry, and close observation of ambition’s costs within families and workplaces. Reviewers highlight your precise prose, restrained compassion, and sharp dialogue. You have won a National Magazine Award and the Trillium Book Award. You live in Toronto, where you continue to write and occasionally mentor emerging writers.",Russell Smith,0
